,Unnamed: 0.1,Unnamed: 0,Vendor Id,Status,Name,Date,UpdateProfile,Found_2023-08-22 12,Found_2023-08-22 15
251,251,251,316532,ACTIVE,ساندویچ سبز,2023-08-11 12:15:46,,,
252,252,252,87359,ACTIVE,رستوران جوجک,2023-08-11 12:30:20,,,
253,253,253,256997,ACTIVE,رستوران مهربانو,2023-08-11 12:30:28,,,
254,254,254,298006,ACTIVE,کافه رستوران نارکو,2023-08-11 12:30:38,,,
255,255,255,297324,ACTIVE,پیتزا سدار,2023-08-11 13:00:37,,,
256,256,256,223427,ACTIVE,کترینگ مهان,2023-08-11 13:15:19,,,
257,257,257,10539,ACTIVE,پیتزا ستاره,2023-08-11 14:45:03,,,
258,258,258,99726,ACTIVE,فست فود مرغ بال,2023-08-11 17:15:14,,,
259,259,259,83009,ACTIVE,غذای ایرانی شمس,2023-08-11 18:15:13,,,
260,260,260,51545,ACTIVE,قنادی عرش,2023-08-11 18:30:08,,,
261,261,261,112278,ACTIVE,کافه رستوران آلما,2023-08-11 18:45:16,,,
262,262,262,24211,ACTIVE,کافه رستوران ویند,2023-08-11 19:15:04,,,
263,263,263,25494,ACTIVE,پیتزا 2002,2023-08-11 19:15:05,,,
264,264,264,29098,ACTIVE,پیتزا سیب 360 (افسریه),2023-08-11 19:15:05,,,
265,265,265,55653,ACTIVE,آجیل شیرینی کندو vip (لاریسا آجیل سابق),2023-08-11 19:15:06,,,
266,266,266,78673,ACTIVE,رستوران برکتی (تهران پارس),2023-08-11 19:15:16,,,
267,267,267,228863,ACTIVE,تهیه غذای پلو خورش,2023-08-11 19:15:21,,,
268,268,268,294247,ACTIVE,کترینگ کباب گلپایگانی یاسر,2023-08-11 19:15:33,,,
269,269,269,312942,ACTIVE,لبنان شاورما,2023-08-11 19:15:39,,,
270,270,270,319581,ACTIVE,رستوران باغ فردوس,2023-08-11 19:15:41,,,
271,271,271,100383,ACTIVE,میوه میارم (پارک ملت),2023-08-11 20:15:19,,,
272,272,272,319741,ACTIVE,کافه آرت,2023-08-11 20:30:43,,,
273,273,273,319300,ACTIVE,فست فود تک طهرون,2023-08-11 22:00:37,,,
274,274,274,86511,ACTIVE,شیرینی فروشی وانیلا (پاسداران),2023-08-12 8:15:05,,,
275,275,275,94912,ACTIVE,کافه نان بروله (دیباجی جنوبی),2023-08-12 8:45:05,,,
276,276,276,279340,ACTIVE,پت شاپ الو پت پت,2023-08-12 8:45:07,,,
277,277,277,298112,ACTIVE,کافه رستوران ملبورن,2023-08-12 8:45:07,,,
278,278,278,312968,ACTIVE,کافه رستوران آوا,2023-08-12 8:45:08,,,
279,279,279,54877,ACTIVE,طباخی محله,2023-08-12 9:00:04,,,
280,280,280,11685,ACTIVE,تهیه غذای دایی,2023-08-12 11:15:03,,,
281,281,281,13394,ACTIVE,پیتزا دایی,2023-08-12 11:15:03,,,
282,282,282,45980,ACTIVE,موسوی کباب (کبابخانه موسوی),2023-08-12 11:15:05,,,
283,283,283,230967,ACTIVE,لبنیات سنتی اسبقی پور لیقوان,2023-08-12 11:15:14,,,
284,284,284,310710,ACTIVE,تهیه غذای پایتخت,2023-08-12 11:15:26,,,
285,285,285,106402,ACTIVE,سرزمین سوخاری (الوند),2023-08-12 11:45:14,,,
286,286,286,33380,ACTIVE,کباب ناب بناب حافظ,2023-08-12 12:15:09,,,
287,287,287,50457,ACTIVE,مجموعه غذای لیالی,2023-08-12 12:15:12,,,
288,288,288,63651,ACTIVE,غذای اصیل و گیلانی بارکو,2023-08-12 12:15:19,,,
289,289,289,97948,ACTIVE,فست فود هفت چنار,2023-08-12 12:15:27,,,
290,290,290,258007,ACTIVE,اکبر جوجه درکه (شعبه ۲ سعادت آباد),2023-08-12 12:15:38,,,
291,291,291,293513,ACTIVE,رستوران زیتون,2023-08-12 12:15:53,,,
292,292,292,30272,ACTIVE,پرپل سوخاری (ارتش),2023-08-12 15:01:57,,,
293,293,293,60191,ACTIVE,سوپر سبزیجات باران (چیذر),2023-08-12 15:02:36,,,
294,294,294,289577,ACTIVE,فست فود دی دی لانچ,2023-08-12 15:32:06,,,
